TABLEAU;NOM 1;PRENOM 1;NUM FFT 1;NUM DUPR 1;CLASS FFT 1;CLASS DUPR 1;NIV Tableau demandé FFT 1;NIV Tableau demandé DUPR 1;DATE NAISSANCE 1;LIGUE 1;MAIL 1;N TEL 1;NOM 2;PRENOM 2;NUM FFT 2;NUM DUPR 2;CLASS FFT 2;CLASS DUPR 2;NIV Tableau demandé FFT 2;NIV Tableau demandé DUPR 2;DATE NAISSANCE 2;LIGUE 2;MAIL 2;N TEL 2
DBLH;DUMOULIN;XAVIER;123456 G;ZE3RT8;3.0;3.199;4.0;3.5;22/01/1970;VIENNE;dumoulie@gmail.com;6070809110;FOBOUL;LILIAN;124358 T;S3Z2A2Q5;4.0;3.764;4.0;4.0;06/01/1974;CHARENTE;foboul@gmail.com;607070722
DBLH;MARTIN;PAUL;987654 A;XY12Z34;2.5;3.1;3.5;3.3;12/03/1980;AQUITAINE;paulmartin@gmail.com;612345678;DURAND;MICHEL;123987 B;ZX56TY9;3.0;3.4;3.5;3.4;07/07/1979;AQUITAINE;michel.durand@email.com;612345679
DBLH;BERTRAND;LUC;321456 C;ABCD123;3.5;3.2;3.5;3.1;04/05/1982;POITOU;luc.bert@gmail.com;601112233;THOMAS;PIERRE;321987 D;EFGH456;4.0;3.7;4.0;3.9;15/09/1981;POITOU;pierre.t@gmail.com;602223344
DBLH;DUPONT;JEAN;456789 E;IJKL789;2.0;2.8;2.5;2.9;22/11/1985;CHARENTE;jean.dup@gmail.com;603334455;LEGRAND;ALAIN;987321 F;MNOP456;2.5;2.9;2.5;2.8;03/06/1984;CHARENTE;alain.lg@gmail.com;604445566
DBLH;MOREAU;NICOLAS;789123 G;QRST567;3.0;3.3;3.5;3.4;10/10/1983;LIMOUSIN;nico.moreau@mail.com;605556677;ROUX;DAVID;654789 H;UVWX890;3.5;3.5;3.5;3.6;18/02/1982;LIMOUSIN;david.roux@mail.com;606667788
DBLH;BONNET;ARNAUD;111222 A;YXWZ321;2.8;3.0;3.0;3.1;20/04/1975;BRETAGNE;arnaud.bonnet@mail.com;607778899;GERARD;PHILIPPE;222333 B;POIU765;2.9;3.2;3.0;3.3;30/12/1976;BRETAGNE;phil.gerard@mail.com;608889900
DBLH;CARON;FABRICE;444555 C;LKJH543;3.0;3.4;3.5;3.6;01/01/1980;ALSACE;fabrice.caron@email.com;609990001;MENARD;JEAN-LUC;555666 D;GFED321;3.2;3.3;3.5;3.5;02/02/1979;ALSACE;jl.menard@email.com;601001122
DBLH;COLLIN;FREDERIC;777888 E;ZXC987;2.5;2.9;3.0;3.0;23/03/1977;NORMANDIE;fred.collin@mail.com;602112233;DA SILVA;MARIO;888999 F;QAZ654;2.7;3.0;3.0;3.1;11/04/1976;NORMANDIE;mario.ds@mail.com;603223344
DBLH;REYNAUD;JULIEN;999000 G;WSX321;3.1;3.5;3.5;3.6;06/06/1978;PROVENCE;julien.rn@gmail.com;604334455;LOPEZ;FERNANDO;000111 H;EDC210;3.2;3.4;3.5;3.5;09/09/1977;PROVENCE;fernando.lopez@gmail.com;605445566
DBLH;LAMBERT;THIERRY;159357 A;PLM9876;3.0;3.3;3.5;3.4;05/05/1976;AUVERGNE;thierry.lambert@mail.com;608800901;GAUTHIER;FRANCK;753159 B;OKN5432;3.1;3.5;3.5;3.6;12/12/1975;AUVERGNE;franck.gauthier@mail.com;609911002
DBLH;BOURGOIN;LAURENT;333444 G;RFT567;3.2;3.3;3.5;3.4;14/08/1978;NOUVELLE-AQUITAINE;laurent.bourgoin@mail.com;601122334;VINCENT;GERARD;445566 H;YHN876;3.3;3.5;3.5;3.6;29/09/1977;NOUVELLE-AQUITAINE;gerard.vincent@mail.com;602233445
DBLH;GILBERT;DIDIER;112233 A;UJM345;2.9;3.1;3.0;3.2;03/03/1979;OCCITANIE;didier.gilbert@mail.com;603344556;BLANCHET;REMI;223344 B;IKM543;3.0;3.2;3.0;3.3;08/08/1978;OCCITANIE;remi.blanchet@mail.com;604455667


